Yil,Marka,Model,Yakit,Sanziman,Km,Boya,Degisen,Kaput_Tavan,Fiyat,beygir,Tramer,Hafta
2006,MERCEDES_BENZ,E_SERISI,PETROL,AUTOMATIC,54294,1,0,0,97600,,670,15
2016,NISSAN,QASHQAI,DIESEL,AUTOMATIC,22757,1,0,0,104100,96.0,1419,23
2016,RENAULT,CLIO,DIESEL,MANUAL,45871,3,0,0,45800,,311,26
2015,RENAULT,CLIO,DIESEL,MANUAL,59938,0,1,0,42100,55.0,5522,21
2013,RENAULT,FLUENCE,DIESEL,AUTOMATIC,168544,3,0,0,46300,81.0,0,25
2016,PEUGEOT,208,PETROL,AUTOMATIC,17068,0,0,0,46100,60.0,0,9
2016,SKODA,OCTAVIA,DIESEL,AUTOMATIC,44602,0,0,0,74600,81.0,0,9
2013,OPEL,CORSA,DIESEL,MANUAL,154558,1,0,0,33100,55.0,1884,11
2013,VOLKSWAGEN,GOLF,DIESEL,MANUAL,91751,3,0,0,59200,66.0,0,18
2015,FIAT,LINEA,DIESEL,MANUAL,135645,0,1,0,37100,70.0,2680,25
2012,RENAULT,FLUENCE,DIESEL,AUTOMATIC,181360,5,0,0,35200,81.0,0,12
2013,RENAULT,SYMBOL,DIESEL,MANUAL,87564,3,1,0,32000,66.0,0,10
2015,FORD,COURIER,DIESEL,MANUAL,15094,2,0,0,54300,70.0,1747,21
2016,NISSAN,QASHQAI,DIESEL,AUTOMATIC,22367,0,0,0,104800,96.0,0,21
2016,VOLKSWAGEN,GOLF,DIESEL,MANUAL,41136,0,0,0,69500,66.0,0,15
2012,FORD,FOCUS,DIESEL,MANUAL,108665,4,1,0,48100,85.0,2448,17
2012,BMW,3_Serisi,PETROL,AUTOMATIC,16102,0,0,0,102100,100.0,0,15
2015,RENAULT,CLIO_IV,DIESEL,MANUAL,101573,4,0,0,40100,55.0,2030,18
2012,RENAULT,CLIO_III,DIESEL,MANUAL,133492,1,3,0,33400,55.0,7542,18
2012,VOLKSWAGEN,GOLF,DIESEL,MANUAL,58703,0,1,0,53400,66.0,1732,14
2014,RENAULT,CLIO,DIESEL,MANUAL,109063,0,0,0,38000,55.0,6135,23
2014,HYUNDAI,ACCENT_BLUE,DIESEL,AUTOMATIC,59610,3,2,0,45100,94.0,3071,21
2015,RENAULT,FLUENCE,DIESEL,AUTOMATIC,28354,0,1,0,54400,81.0,0,12
2016,NISSAN,MICRA,PETROL,AUTOMATIC,14424,0,0,0,51500,59.0,0,21
2012,SKODA,YETI,PETROL,AUTOMATIC,96029,5,1,0,45000,77.0,0,10
2012,FORD,TRANSIT,DIESEL,MANUAL,141721,1,0,0,38500,114.0,370,11
2015,RENAULT,CLIO,DIESEL,AUTOMATIC,152248,1,1,0,50500,66.0,6047,22
2013,RENAULT,FLUENCE,DIESEL,AUTOMATIC,48960,4,0,0,50600,81.0,2592,12
2015,SKODA,OCTAVIA,DIESEL,AUTOMATIC,80808,0,0,0,70000,77.0,1264,17
2011,DACIA,DUSTER,DIESEL,MANUAL,114400,1,0,0,42400,85.0,491,25
2012,RENAULT,CLIO,DIESEL,MANUAL,191264,1,2,0,29200,55.0,6687,12
2015,FIAT,LINEA,DIESEL,MANUAL,70119,1,0,0,38300,70.0,882,17
2012,VOLKSWAGEN,PASSAT_CC,PETROL,AUTOMATIC,77591,0,0,1,72200,118.0,1336,23
2016,MAZDA,CX_3,DIESEL,AUTOMATIC,4176,0,0,0,96000,77.0,0,14
2015,RENAULT,CLIO_IV,DIESEL,MANUAL,43044,0,0,0,44100,55.0,0,17
2013,RENAULT,CLIO_IV,DIESEL,MANUAL,183980,5,1,0,31000,55.0,4202,23
2013,RENAULT,CLIO_III,DIESEL,MANUAL,82469,0,0,0,38200,55.0,0,10
2013,RENAULT,FLUENCE,DIESEL,AUTOMATIC,130309,4,0,0,48100,81.0,650,21
2013,RENAULT,SYMBOL,DIESEL,MANUAL,101227,2,0,0,32800,55.0,788,22
2015,FIAT,LINEA,DIESEL,MANUAL,57892,1,0,0,40100,70.0,210,25
2008,HYUNDAI,ACCENT_ERA,DIESEL,MANUAL,234000,4,1,0,22300,110.0,837,12
2013,MERCEDES_BENZ,C_SERISI,PETROL,AUTOMATIC,98837,0,0,0,106500,156.0,0,20
2015,RENAULT,MEGANE_III,DIESEL,AUTOMATIC,42511,0,3,0,61000,81.0,9943,21
2015,RENAULT,FLUENCE,DIESEL,MANUAL,96684,1,0,0,50300,,1154,26
2015,RENAULT,SYMBOL,DIESEL,MANUAL,33913,4,0,0,36300,66.0,2914,11
