Yil,Marka,Model,Yakit,Sanziman,Km,Boya,Degisen,Kaput_Tavan,Fiyat,beygir,Tramer,Hafta
2014,DACIA,DUSTER,DIESEL,MANUAL,58303,1,0,1,538000,81.0,581,23
2016,FIAT,EGEA,DIESEL,MANUAL,22181,1,0,1,517000,70.0,0,23
2016,NISSAN,MICRA,BENZIN,AUTOMATIC,11178,0,0,0,510000,59.0,0,23
2016,NISSAN,MICRA,BENZIN,AUTOMATIC,12735,0,0,0,508000,59.0,0,23
2016,NISSAN,MICRA,BENZIN,AUTOMATIC,12703,0,0,0,508000,59.0,0,23
2016,NISSAN,MICRA,BENZIN,AUTOMATIC,11707,0,0,0,507000,59.0,0,23
2016,NISSAN,MICRA,BENZIN,AUTOMATIC,11886,0,0,0,507000,59.0,0,23
2016,NISSAN,MICRA,BENZIN,AUTOMATIC,14218,0,0,0,506000,59.0,0,23
2016,NISSAN,MICRA,BENZIN,AUTOMATIC,14615,0,0,0,504000,59.0,0,23
2016,NISSAN,MICRA,BENZIN,AUTOMATIC,14758,0,0,0,504000,59.0,0,23
2016,NISSAN,MICRA,BENZIN,AUTOMATIC,16816,0,0,0,503000,59.0,0,23
2016,HYUNDAI,I20,DIESEL,MANUAL,17932,0,0,0,520000,66.0,0,23
2016,HYUNDAI,I20,DIESEL,MANUAL,18113,0,0,0,517000,66.0,0,23
2014,RENAULT,FLUENCE,DIESEL,AUTOMATIC,81130,1,1,0,497000,81.0,4248,23
2011,VOLKSWAGEN,PASSAT,BENZIN,MANUAL,76196,3,0,0,525000,75.0,0,23
2016,RENAULT,CLIO_IV,DIESEL,MANUAL,42321,0,0,0,517000,55.0,0,23
2013,VOLKSWAGEN,GOLF,DIESEL,MANUAL,184382,1,0,1,512000,66.0,0,23
2016,NISSAN,MICRA,BENZIN,AUTOMATIC,6405,0,0,0,510000,59.0,0,23
2015,FORD,TOURNEO,DIESEL,MANUAL,54412,0,2,0,509000,70.0,1163,23
2016,NISSAN,MICRA,BENZIN,AUTOMATIC,8427,0,0,0,501000,59.0,0,23
2014,RENAULT,FLUENCE,DIESEL,AUTOMATIC,67452,4,0,0,495000,81.0,847,23
2013,RENAULT,FLUENCE,DIESEL,AUTOMATIC,18405,1,0,0,457000,81.0,4740,23
2016,RENAULT,CLIO_IV,DIESEL,MANUAL,33513,0,0,0,518000,55.0,0,23
2014,RENAULT,FLUENCE,DIESEL,AUTOMATIC,92193,2,0,1,501000,81.0,0,23
2015,FORD,TOURNEO,DIESEL,MANUAL,76137,0,0,0,525000,70.0,0,23
2015,RENAULT,FLUENCE,DIESEL,AUTOMATIC,57022,5,0,0,555000,81.0,4037,23
2016,RENAULT,CLIO_IV,DIESEL,MANUAL,39953,2,1,0,528000,66.0,4956,23
2014,RENAULT,FLUENCE,DIESEL,AUTOMATIC,85323,2,0,0,506000,81.0,1310,23
2014,RENAULT,FLUENCE,DIESEL,AUTOMATIC,58504,3,0,0,538000,81.0,1816,23
2015,FORD,COURIER,DIESEL,MANUAL,93238,0,0,0,486000,70.0,0,23
2012,NISSAN,QASHQAI,BENZIN,AUTOMATIC,89839,3,0,0,570000,86.0,5722,23
2015,DACIA,DUSTER,DIESEL,MANUAL,100600,0,0,0,550000,109.0,0,23
2015,RENAULT,FLUENCE,DIESEL,MANUAL,22989,0,0,0,520000,66.0,0,23
2015,RENAULT,FLUENCE,DIESEL,MANUAL,47590,3,1,0,580000,81.0,2541,23
2014,RENAULT,FLUENCE,DIESEL,AUTOMATIC,52827,0,0,0,543000,81.0,0,23
2016,FORD,TOURNEO,DIESEL,MANUAL,28217,1,1,0,561000,70.0,0,23
2016,RENAULT,FLUENCE,DIESEL,MANUAL,27701,1,0,0,555000,66.0,0,23
2014,PEUGEOT,2008,DIESEL,AUTOMATIC,105064,0,0,0,590000,68.0,0,23
2011,VOLKSWAGEN,PASSAT,BENZIN,AUTOMATIC,106569,1,4,0,566000,90.0,10,23
2016,RENAULT,FLUENCE,DIESEL,MANUAL,21911,0,0,0,565000,66.0,432,23
2016,RENAULT,FLUENCE,DIESEL,MANUAL,24653,0,0,0,562000,66.0,325,23
2015,RENAULT,FLUENCE,DIESEL,AUTOMATIC,45013,2,0,0,560000,81.0,2195,23
2016,RENAULT,FLUENCE,DIESEL,MANUAL,27493,0,0,0,558000,66.0,0,23
2015,VOLKSWAGEN,POLO,BENZIN,AUTOMATIC,27910,0,0,0,547000,66.0,0,23
2015,FORD,FOCUS,DIESEL,MANUAL,89950,2,1,0,568000,70.0,12799,23
2014,PEUGEOT,2008,DIESEL,AUTOMATIC,87126,0,0,0,630000,68.0,0,23
2015,RENAULT,MEGANE_III,DIESEL,MANUAL,31838,1,0,0,565000,66.0,0,23
2015,TOYOTA,COROLLA,DIESEL,AUTOMATIC,57557,3,1,0,588000,66.0,9753,23
2015,OPEL,ASTRA,DIESEL,MANUAL,91065,2,2,0,606000,100.0,4473,23
2016,RENAULT,CLIO_IV,DIESEL,AUTOMATIC,24456,0,0,0,635000,66.0,543,23
2015,TOYOTA,COROLLA,DIESEL,AUTOMATIC,74882,6,0,0,625000,66.0,5075,23
2015,FORD,FOCUS,DIESEL,MANUAL,107083,0,1,0,619000,78.39803988995874,0,23
2014,RENAULT,LATITUDE,DIESEL,AUTOMATIC,100846,0,0,0,650000,81.0,4735,23
2016,RENAULT,FLUENCE,DIESEL,MANUAL,27236,0,1,0,614000,81.0,2556,23
2013,PEUGEOT,508,DIESEL,AUTOMATIC,25168,4,2,0,640000,84.0,0,23
2014,TOYOTA,COROLLA,DIESEL,AUTOMATIC,50162,3,0,0,620000,66.0,0,23
2015,RENAULT,MEGANE_III,DIESEL,AUTOMATIC,42694,3,0,0,615000,81.0,5039,23
2015,TOYOTA,COROLLA,DIESEL,AUTOMATIC,83050,3,0,1,642000,66.0,2226,23
2015,OPEL,ASTRA,DIESEL,MANUAL,28566,0,0,0,623000,100.0,17934,23
2015,TOYOTA,COROLLA,DIESEL,AUTOMATIC,63214,4,0,0,621000,66.0,2977,23
2013,VOLKSWAGEN,JETTA,DIESEL,AUTOMATIC,159470,5,0,0,600000,77.0,1664,23
2016,RENAULT,MEGANE_IV,DIESEL,MANUAL,30125,0,0,0,585000,66.0,0,23
2015,TOYOTA,COROLLA,DIESEL,AUTOMATIC,48283,3,1,0,655000,66.0,1382,23
2013,OPEL,INSIGNIA,BENZIN,AUTOMATIC,42968,4,0,0,644000,125.0,0,23
2013,VOLKSWAGEN,JETTA,DIESEL,AUTOMATIC,101659,4,1,0,680000,77.0,5225,23
2012,VOLKSWAGEN,JETTA,DIESEL,AUTOMATIC,52065,6,1,1,609000,77.0,2990,23
2015,RENAULT,MEGANE_III,DIESEL,AUTOMATIC,30889,0,0,0,647000,81.0,0,23
2013,VOLKSWAGEN,JETTA,DIESEL,AUTOMATIC,124347,0,2,0,651000,77.0,527,23
2016,VOLKSWAGEN,POLO,DIESEL,AUTOMATIC,43446,0,0,0,643000,66.0,0,23
2016,VOLKSWAGEN,POLO,DIESEL,AUTOMATIC,27984,1,0,0,655000,78.39803988995874,0,23
2013,VOLKSWAGEN,JETTA,DIESEL,AUTOMATIC,82749,2,1,0,696000,77.0,6716,23
2013,VOLKSWAGEN,JETTA,DIESEL,AUTOMATIC,115320,1,1,0,678000,77.0,1624,23
2016,RENAULT,MEGANE_IV,DIESEL,AUTOMATIC,23813,0,2,0,653000,81.0,3211,23
2014,VOLKSWAGEN,JETTA,DIESEL,AUTOMATIC,110237,3,2,0,680000,77.0,0,23
2016,FORD,FOCUS,DIESEL,AUTOMATIC,34161,2,1,0,710000,88.0,0,23
2011,SKODA,SUPERB,DIESEL,AUTOMATIC,163228,0,0,0,701000,78.39803988995874,0,23
2016,OPEL,ASTRA,DIESEL,AUTOMATIC,39425,6,0,0,691000,100.0,0,23
2016,RENAULT,MEGANE_IV,DIESEL,AUTOMATIC,32358,0,0,0,665000,81.0,2625,23
2014,VOLKSWAGEN,JETTA,DIESEL,AUTOMATIC,113089,2,1,0,720000,77.0,2281,23
2014,VOLKSWAGEN,JETTA,DIESEL,AUTOMATIC,113089,2,1,0,715000,77.0,2281,23
2013,VOLKSWAGEN,JETTA,DIESEL,AUTOMATIC,68418,3,0,1,681000,77.0,1253,23
2014,VOLKSWAGEN,JETTA,DIESEL,AUTOMATIC,57092,6,0,0,715000,77.0,5094,23
2016,RENAULT,MEGANE_IV,DIESEL,AUTOMATIC,24256,0,0,0,665000,81.0,0,23
2016,TOYOTA,COROLLA,DIESEL,AUTOMATIC,25991,0,0,0,711000,66.0,0,23
2014,VOLKSWAGEN,JETTA,DIESEL,AUTOMATIC,71224,2,0,0,702000,77.0,10134,23
2016,TOYOTA,COROLLA,DIESEL,AUTOMATIC,19853,0,0,0,715000,66.0,0,23
2016,OPEL,ASTRA,DIESEL,AUTOMATIC,24464,2,0,0,725000,100.0,0,23
2016,OPEL,ASTRA,DIESEL,AUTOMATIC,23300,3,0,0,710000,100.0,600,23
2016,OPEL,ASTRA,DIESEL,AUTOMATIC,34420,1,0,0,733000,100.0,0,23
2016,OPEL,ASTRA,DIESEL,AUTOMATIC,27296,1,0,0,737000,100.0,0,23
2016,OPEL,ASTRA,DIESEL,AUTOMATIC,14876,2,0,0,730000,100.0,0,23
2016,OPEL,ASTRA,DIESEL,AUTOMATIC,31503,0,0,0,742000,100.0,0,23
2016,OPEL,ASTRA,DIESEL,AUTOMATIC,35612,0,0,0,740000,100.0,0,23
2014,VOLKSWAGEN,JETTA,DIESEL,AUTOMATIC,74496,2,0,0,738000,77.0,1548,23
2016,OPEL,ASTRA,DIESEL,AUTOMATIC,37914,0,0,0,731000,100.0,0,23
2016,RENAULT,MEGANE_IV,DIESEL,MANUAL,32151,1,1,0,692000,81.0,0,23
2016,OPEL,ASTRA,DIESEL,AUTOMATIC,26871,0,0,0,737000,100.0,1276,23
2016,OPEL,ASTRA,DIESEL,AUTOMATIC,27608,0,0,0,732000,100.0,0,23
2016,OPEL,ASTRA,DIESEL,AUTOMATIC,28713,0,0,0,725000,100.0,0,23
2013,FORD,MONDEO,DIESEL,AUTOMATIC,67502,3,1,0,720000,120.0,0,23
2012,VOLKSWAGEN,PASSAT,DIESEL,MANUAL,135491,0,0,0,773000,77.0,378,23
2014,VOLKSWAGEN,JETTA,DIESEL,AUTOMATIC,79113,0,0,0,760000,77.0,598,23
2015,VOLKSWAGEN,JETTA,DIESEL,AUTOMATIC,85385,4,0,1,812000,77.0,2984,23
2012,VOLKSWAGEN,PASSAT,DIESEL,AUTOMATIC,186583,4,0,0,771000,78.39803988995874,3738,23
2013,VOLKSWAGEN,PASSAT,DIESEL,AUTOMATIC,129623,1,0,1,822000,77.0,4769,23
2016,TOYOTA,COROLLA,DIESEL,AUTOMATIC,13103,0,0,0,828000,66.0,0,23
2016,TOYOTA,COROLLA,DIESEL,AUTOMATIC,13700,0,0,0,828000,66.0,0,23
2016,TOYOTA,COROLLA,DIESEL,AUTOMATIC,7650,1,0,0,826000,66.0,100,23
2016,TOYOTA,COROLLA,DIESEL,AUTOMATIC,14946,0,0,0,824000,66.0,0,23
2016,TOYOTA,COROLLA,DIESEL,AUTOMATIC,14547,0,0,0,823000,66.0,0,23
2014,VOLKSWAGEN,PASSAT,DIESEL,AUTOMATIC,75052,7,0,0,833000,77.0,6666,23
2013,VOLKSWAGEN,PASSAT,DIESEL,AUTOMATIC,99423,3,0,1,875000,103.0,1275,23
2016,RENAULT,MEGANE_IV,DIESEL,AUTOMATIC,2713,0,0,0,861000,81.0,0,23
2014,VOLKSWAGEN,PASSAT,DIESEL,AUTOMATIC,105350,4,1,0,830000,77.0,956,23
2014,VOLKSWAGEN,PASSAT,DIESEL,AUTOMATIC,94797,4,0,0,837000,77.0,2447,23
2014,VOLKSWAGEN,PASSAT,DIESEL,AUTOMATIC,81371,4,0,1,859000,77.0,4720,23
2014,VOLKSWAGEN,PASSAT,DIESEL,AUTOMATIC,67562,4,0,0,866000,77.0,7039,23
2016,SKODA,OCTAVIA,DIESEL,AUTOMATIC,39817,0,0,0,870000,81.0,0,23
2014,VOLKSWAGEN,PASSAT,DIESEL,AUTOMATIC,82284,2,0,0,888000,77.0,1601,23
2016,SKODA,OCTAVIA,DIESEL,AUTOMATIC,29205,0,0,0,872000,81.0,0,23
2016,NISSAN,QASHQAI,DIESEL,MANUAL,11389,0,0,0,958000,81.0,0,23
2016,NISSAN,QASHQAI,DIESEL,MANUAL,12718,0,0,0,952000,81.0,0,23
2016,NISSAN,QASHQAI,DIESEL,MANUAL,11619,0,0,0,949000,81.0,0,23
2016,NISSAN,QASHQAI,DIESEL,MANUAL,11619,0,0,0,949000,81.0,0,23
2016,NISSAN,QASHQAI,DIESEL,MANUAL,8432,0,0,0,963000,81.0,0,23
2016,OPEL,INSIGNIA,DIESEL,AUTOMATIC,20931,0,0,0,997000,100.0,0,23
2016,NISSAN,QASHQAI,DIESEL,AUTOMATIC,23724,0,0,0,1046000,96.0,270,23
2016,RENAULT,TALISMAN,DIESEL,AUTOMATIC,32370,3,0,0,991000,96.0,12133,23
2016,NISSAN,QASHQAI,DIESEL,AUTOMATIC,15824,2,0,0,1040000,96.0,0,23
2016,NISSAN,QASHQAI,DIESEL,AUTOMATIC,22757,1,0,0,1041000,96.0,1419,23
2016,NISSAN,QASHQAI,DIESEL,AUTOMATIC,28920,0,0,0,1052000,96.0,0,23
2016,NISSAN,QASHQAI,DIESEL,AUTOMATIC,20014,0,0,0,1051000,96.0,0,23
2016,RENAULT,TALISMAN,DIESEL,AUTOMATIC,37548,1,0,2,1037000,96.0,0,23
2016,RENAULT,TALISMAN,DIESEL,AUTOMATIC,34850,1,0,0,1035000,96.0,0,23
2016,NISSAN,QASHQAI,DIESEL,AUTOMATIC,17605,0,0,0,1055000,96.0,0,23
2016,RENAULT,TALISMAN,DIESEL,AUTOMATIC,33588,0,0,0,1042000,96.0,0,23
2016,NISSAN,QASHQAI,DIESEL,AUTOMATIC,22956,0,0,0,1150000,96.0,0,23
2016,SKODA,SUPERB,DIESEL,AUTOMATIC,21841,0,0,0,1166000,88.0,908,23
2016,VOLKSWAGEN,PASSAT,DIESEL,AUTOMATIC,25762,0,0,0,1156000,88.0,0,23
2015,NISSAN,X_TRAIL,DIESEL,AUTOMATIC,50334,0,0,0,1285000,96.0,0,23
2013,CHEVROLET,CAPTIVA,DIESEL,AUTOMATIC,101470,0,0,0,856000,120.0,2393,23
2016,RENAULT,CLIO_IV,DIESEL,MANUAL,33323,0,0,0,520000,55.0,0,23
2013,RENAULT,LATITUDE,DIESEL,MANUAL,135733,4,0,0,470000,81.0,3082,23
2016,TOYOTA,COROLLA,DIESEL,AUTOMATIC,22368,0,0,0,824000,66.0,0,23
2016,TOYOTA,COROLLA,DIESEL,AUTOMATIC,24623,0,0,0,827000,66.0,0,23
2013,TOYOTA,YARIS,BENZIN,AUTOMATIC,61178,7,3,0,329000,73.0,13135,23
2013,VOLKSWAGEN,JETTA,DIESEL,AUTOMATIC,107963,2,0,0,684000,77.0,2788,23
2015,VOLKSWAGEN,PASSAT,DIESEL,AUTOMATIC,52276,0,0,0,1140000,88.0,0,23
2012,CHEVROLET,AVEO,BENZIN,MANUAL,53704,2,2,1,255000,62.0,0,23
2010,CHEVROLET,CAPTIVA,DIESEL,AUTOMATIC,156531,0,0,0,585000,110.0,0,23
2006,CITROEN,C3,DIESEL,MANUAL,228070,5,0,0,177000,51.0,0,23
2012,CITROEN,DS5,DIESEL,AUTOMATIC,179274,0,0,0,650000,84.0,0,23
2014,FIAT,DOBLO,DIESEL,MANUAL,107112,0,0,0,430000,77.0,0,23
2000,FORD,FOCUS,BENZIN,MANUAL,168596,0,0,0,201000,73.0,0,23
2016,HYUNDAI,I20,BENZIN,AUTOMATIC,13344,0,1,0,528000,73.0,0,23
2013,LANCIA,YPSILON,DIESEL,MANUAL,19649,0,1,0,360000,70.0,0,23
2012,OPEL,CORSA,DIESEL,MANUAL,185522,0,1,0,323000,55.0,0,23
2004,PEUGEOT,206,BENZIN,AUTOMATIC,116027,3,4,0,233000,78.39803988995874,0,23
2016,PEUGEOT,301,DIESEL,MANUAL,35404,0,0,0,437000,68.0,0,23
2012,RENAULT,FLUENCE,DIESEL,MANUAL,99433,4,0,0,383000,66.0,0,23
2012,RENAULT,FLUENCE,DIESEL,MANUAL,163310,4,0,0,363000,66.0,0,23
2012,RENAULT,FLUENCE,DIESEL,MANUAL,110183,4,0,0,375000,66.0,0,23
